route,file,constRefs,literalRefs,signal
"/settings/travel-radius","app/settings/travel-radius.tsx",1,0,weak
"/skills","app/skills/index.tsx",0,0,orphan
"/skills/[category]","app/skills/[category].tsx",1,0,weak
"/squads/[id]/invite","app/squads/[id]/invite.tsx",1,0,weak
"/verification","app/verification/index.tsx",0,0,orphan
"/verification/background","app/verification/background.tsx",1,0,weak
"/verification/credentials","app/verification/credentials.tsx",1,0,weak
"/verification/id","app/verification/id.tsx",1,0,weak
"/verification/insurance","app/verification/insurance.tsx",1,0,weak
"/videos/[id]","app/videos/[id].tsx",1,0,weak
"/videos/upload","app/videos/upload.tsx",0,0,orphan
