file,reachable_from_app,status,importer_count,importer_kinds
components/development/special-needs-notes-section.tsx,yes,reachable,1,"app"
components/development/special-needs-observations.tsx,yes,reachable,1,"app"
components/discover/FilterBar.tsx,yes,reachable,4,"app,component"
components/discover/FilterModal.tsx,yes,reachable,4,"app,component"
components/discover/PriceRangeSlider.tsx,yes,reachable,2,"component"
components/discover/RatingFilter.tsx,yes,reachable,2,"component"
components/discover/filter-bar-sections.tsx,yes,reachable,1,"component"
components/discover/filter-modal-sections.tsx,yes,reachable,1,"component"
components/discover/map-content.native.tsx,yes,reachable,1,"app"
components/discover/map-content.tsx,yes,reachable,1,"app"
components/discover/map-content.web.tsx,yes,reachable,1,"app"
components/drills/AssignmentCard.tsx,yes,reachable,2,"component"
components/drills/DifficultyBadge.tsx,yes,reachable,4,"component"
components/drills/DrillCard.tsx,yes,reachable,2,"component"
components/drills/DrillCoachNotes.tsx,yes,reachable,1,"component"
components/drills/DrillCompletionSection.tsx,yes,reachable,1,"component"
components/drills/DrillFeedbackCard.tsx,yes,reachable,1,"component"
components/drills/DrillForm.tsx,yes,reachable,1,"component"
components/drills/DrillInfoHeader.tsx,yes,reachable,1,"component"
components/drills/DrillInstructions.tsx,yes,reachable,1,"component"
components/drills/DrillList.tsx,yes,reachable,1,"component"
components/drills/VideoPlayer.tsx,yes,reachable,6,"app,component"
components/drills/assign-drill-form.tsx,yes,reachable,1,"app"
components/drills/assignment-card-compact.tsx,yes,reachable,1,"component"
components/drills/challenge-card.tsx,yes,reachable,1,"app"
components/drills/challenge-stats-bar.tsx,yes,reachable,1,"app"
components/drills/drill-card-sections.tsx,yes,reachable,1,"component"
components/drills/drill-category-filter.tsx,yes,reachable,1,"app"
components/drills/drill-detail-header.tsx,yes,reachable,1,"app"
components/drills/drill-form-sections.tsx,yes,reachable,1,"component"
components/drills/drill-list-sections.tsx,yes,reachable,1,"component"
components/drills/drill-stats-card.tsx,yes,reachable,1,"app"
components/drills/drill-tab-filter.tsx,yes,reachable,1,"app"
components/earnings/coach-payment-instructions-card.tsx,yes,reachable,2,"app,component"
components/earnings/payment-summary-card.tsx,yes,reachable,2,"app,component"
components/earnings/session-payment-item.tsx,yes,reachable,2,"app,component"
components/error-boundary.tsx,yes,reachable,7,"app,component"
components/event/AttendeeCard.tsx,yes,reachable,1,"component"
components/event/AttendeeList.tsx,yes,reachable,1,"app"
components/event/CheckInButton.tsx,yes,reachable,1,"app"
components/event/attendee-card-sections.tsx,yes,reachable,1,"component"
components/event/attendee-list-sections.tsx,yes,reachable,1,"component"
components/event/check-in-button-sections.tsx,yes,reachable,1,"component"
components/event/create-event-audience-step.tsx,yes,reachable,1,"app"
components/event/create-event-details-step.tsx,yes,reachable,1,"app"
components/event/create-event-review-step.tsx,yes,reachable,1,"app"
components/event/create-event-schedule-step.tsx,yes,reachable,1,"app"
components/event/create-event-type-step.tsx,yes,reachable,1,"app"
components/event/event-athlete-selector.tsx,yes,reachable,1,"component"
components/event/event-attendance-section.tsx,yes,reachable,1,"app"
components/event/event-card-sections.tsx,yes,reachable,1,"component"
components/event/event-card.tsx,yes,reachable,3,"app,component"
components/event/events-list-sections.tsx,yes,reachable,1,"app"
components/event/rsvp-button-sections.tsx,yes,reachable,1,"component"
components/event/rsvp-buttons.tsx,yes,reachable,2,"app,component"
